"id","average_wage","industry","average_price","category","year"
1,14444,Administrativní a podpůrné činnosti,27.30,Banány žluté,2006
2,19242,Činnosti v oblasti nemovitostí,27.30,Banány žluté,2006
3,19257,Doprava a skladování,27.30,Banány žluté,2006
4,35793,Informační a komunikační činnosti,27.30,Banány žluté,2006
5,16827,"Kulturní, zábavní a rekreační činnosti",27.30,Banány žluté,2006
6,16484,Ostatní činnosti,27.30,Banány žluté,2006
7,40027,Peněžnictví a pojišťovnictví,27.30,Banány žluté,2006
8,24645,"Profesní, vědecké a technické činnosti",27.30,Banány žluté,2006
9,17850,Stavebnictví,27.30,Banány žluté,2006
10,24067,Těžba a dobývání,27.30,Banány žluté,2006
11,11674,"Ubytování, stravování a pohostinství",27.30,Banány žluté,2006
12,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,27.30,Banány žluté,2006
13,23285,Veřejná správa a obrana; povinné sociální zabezpečení,27.30,Banány žluté,2006
14,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",27.30,Banány žluté,2006
15,20030,Vzdělávání,27.30,Banány žluté,2006
16,18740,Zásobování vodou; činnosti související s odpady a sanacemi,27.30,Banány žluté,2006
17,19042,Zdravotní a sociální péče,27.30,Banány žluté,2006
18,14818,"Zemědělství, lesnictví, rybářství",27.30,Banány žluté,2006
19,18482,Zpracovatelský průmysl,27.30,Banány žluté,2006
20,19536,,27.30,Banány žluté,2006
21,14444,Administrativní a podpůrné činnosti,21.73,Cukr krystalový,2006
22,19242,Činnosti v oblasti nemovitostí,21.73,Cukr krystalový,2006
23,19257,Doprava a skladování,21.73,Cukr krystalový,2006
24,35793,Informační a komunikační činnosti,21.73,Cukr krystalový,2006
25,16827,"Kulturní, zábavní a rekreační činnosti",21.73,Cukr krystalový,2006
26,16484,Ostatní činnosti,21.73,Cukr krystalový,2006
27,40027,Peněžnictví a pojišťovnictví,21.73,Cukr krystalový,2006
28,24645,"Profesní, vědecké a technické činnosti",21.73,Cukr krystalový,2006
29,17850,Stavebnictví,21.73,Cukr krystalový,2006
30,24067,Těžba a dobývání,21.73,Cukr krystalový,2006
31,11674,"Ubytování, stravování a pohostinství",21.73,Cukr krystalový,2006
32,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,21.73,Cukr krystalový,2006
33,23285,Veřejná správa a obrana; povinné sociální zabezpečení,21.73,Cukr krystalový,2006
34,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",21.73,Cukr krystalový,2006
35,20030,Vzdělávání,21.73,Cukr krystalový,2006
36,18740,Zásobování vodou; činnosti související s odpady a sanacemi,21.73,Cukr krystalový,2006
37,19042,Zdravotní a sociální péče,21.73,Cukr krystalový,2006
38,14818,"Zemědělství, lesnictví, rybářství",21.73,Cukr krystalový,2006
39,18482,Zpracovatelský průmysl,21.73,Cukr krystalový,2006
40,19536,,21.73,Cukr krystalový,2006
41,14444,Administrativní a podpůrné činnosti,110.95,Eidamská cihla,2006
42,19242,Činnosti v oblasti nemovitostí,110.95,Eidamská cihla,2006
43,19257,Doprava a skladování,110.95,Eidamská cihla,2006
44,35793,Informační a komunikační činnosti,110.95,Eidamská cihla,2006
45,16827,"Kulturní, zábavní a rekreační činnosti",110.95,Eidamská cihla,2006
46,16484,Ostatní činnosti,110.95,Eidamská cihla,2006
47,40027,Peněžnictví a pojišťovnictví,110.95,Eidamská cihla,2006
48,24645,"Profesní, vědecké a technické činnosti",110.95,Eidamská cihla,2006
49,17850,Stavebnictví,110.95,Eidamská cihla,2006
50,24067,Těžba a dobývání,110.95,Eidamská cihla,2006
51,11674,"Ubytování, stravování a pohostinství",110.95,Eidamská cihla,2006
52,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,110.95,Eidamská cihla,2006
53,23285,Veřejná správa a obrana; povinné sociální zabezpečení,110.95,Eidamská cihla,2006
54,29211,"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",110.95,Eidamská cihla,2006
55,20030,Vzdělávání,110.95,Eidamská cihla,2006
56,18740,Zásobování vodou; činnosti související s odpady a sanacemi,110.95,Eidamská cihla,2006
57,19042,Zdravotní a sociální péče,110.95,Eidamská cihla,2006
58,14818,"Zemědělství, lesnictví, rybářství",110.95,Eidamská cihla,2006
59,18482,Zpracovatelský průmysl,110.95,Eidamská cihla,2006
60,19536,,110.95,Eidamská cihla,2006
61,14444,Administrativní a podpůrné činnosti,166.34,Hovězí maso zadní bez kosti,2006
62,19242,Činnosti v oblasti nemovitostí,166.34,Hovězí maso zadní bez kosti,2006
63,19257,Doprava a skladování,166.34,Hovězí maso zadní bez kosti,2006
64,35793,Informační a komunikační činnosti,166.34,Hovězí maso zadní bez kosti,2006
65,16827,"Kulturní, zábavní a rekreační činnosti",166.34,Hovězí maso zadní bez kosti,2006
66,16484,Ostatní činnosti,166.34,Hovězí maso zadní bez kosti,2006
67,40027,Peněžnictví a pojišťovnictví,166.34,Hovězí maso zadní bez kosti,2006
68,24645,"Profesní, vědecké a technické činnosti",166.34,Hovězí maso zadní bez kosti,2006
69,17850,Stavebnictví,166.34,Hovězí maso zadní bez kosti,2006
70,24067,Těžba a dobývání,166.34,Hovězí maso zadní bez kosti,2006
71,11674,"Ubytování, stravování a pohostinství",166.34,Hovězí maso zadní bez kosti,2006
72,18223,Velkoobchod a maloobchod; opravy a údržba motorových vozidel,166.34,Hovězí maso zadní bez kosti,2006
73,23285,Veřejná správa a obrana; povinné sociální zabezpečení,166.34,Hovězí maso zadní bez kosti,2006
